artist_key,artist_name_en,artist_name_ko,artist_slug_candidate,days_pipe,stages_pipe,stage_timing_entries_pipe
SEBASTIENLEGER,SÉBASTIEN LÉGER,세바스티앙 레제,sebastien-leger,토-일,잔디,토-일 / 잔디 / 22:30-24:30
VENERABLEBOMANSBUDDHISTPSYCHOLOGY,VENERABLE BOMAN’S BUDDHIST PSYCHOLOGY,보만스님의 불교심리학,venerable-boman-s-buddhist-psychology,일-월,마음,일-월 / 마음 / 11:00~12:00
VERA,VERA,,vera,일-월|토-일,마음|한옥,일-월 / 한옥 / 08:00-11:00|토-일 / 마음 / 24:00~02:00
VIIAYEON,VIIA YEON,비아 연,viia-yeon,토-일,작가,토-일 / 작가
VINYASAMOVEMENT,VINYASA MOVEMENT,빈야사 무브먼트,vinyasa-movement,토-일,마음,토-일 / 마음 / 07:00~08:00
VOICEOFTHETREESAFORESTTEMPLE,VOICE OF THE TREES: A FOREST TEMPLE,나무의 목소리: 숲의 사원,voice-of-the-trees-a-forest-temple,토-일,마음,토-일 / 마음 / 11:00~12:00
WELLNESSTAEKWONDO,WELLNESS TAEKWONDO,웰니스 태권도,wellness-taekwondo,토-일,마당,토-일 / 마당 / 17:00~18:00
XANEXX,XANEXX,자넥스,xanexx,일-월,숲,일-월 / 숲 / 04:00-06:00
ZAHOWHERERHYTHMPAUSES,ZAHO : WHERE RHYTHM PAUSES :,자호: 리듬이 머무는 순간,zaho-where-rhythm-pauses,토-일,마음,토-일 / 마음 / 13:00~14:00
ZORBA,ZORBA,조르바,zorba,일-월,숲,일-월 / 숲 / 22:00-24:00
운동회,운동회,,,일-월,잔디,일-월 / 잔디 / 13:00~15:00
