artist_key,name_en,name_ko,slug_candidate,stages_pipe,source_files_pipe,name_en_variants_pipe
SPACEMOTION,SPACE MOTION,,space-motion,JANDI,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SPACE MOTION
STUDIONOKE,STUDIO NOKE,스튜디오 노케,studio-noke,EXHIBITION,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,STUDIO NOKE
SUNDAYLEE,SUNDAY LEE,선데이 리,sunday-lee,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SUNDAY LEE
SUNDOWNGONGCEREMONY,SUNDOWN GONG CEREMONY,일몰 공 세레모니,sundown-gong-ceremony,MAUM,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SUNDOWN GONG CEREMONY
SUNGHOON,SUNGHOON,,sunghoon,SOOP,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SUNGHOON
SUNJUHARGUN,SUNJU HARGUN,,sunju-hargun,SOOP,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SUNJU HARGUN
SEBASTIENLEGER,SÉBASTIEN LÉGER,세바스티앙 레제,sebastien-leger,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SÉBASTIEN LÉGER
VENERABLEBOMANSBUDDHISTPSYCHOLOGY,VENERABLE BOMAN’S BUDDHIST PSYCHOLOGY,보만스님의 불교심리학,venerable-boman-s-buddhist-psychology,MAUM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,VENERABLE BOMAN’S BUDDHIST PSYCHOLOGY
VERA,VERA,,vera,HANOK|MAUM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,VERA
VIIAYEON,VIIA YEON,비아 연,viia-yeon,EXHIBITION,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,VIIA YEON
VINYASAMOVEMENT,VINYASA MOVEMENT,빈야사 무브먼트,vinyasa-movement,MAUM,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,VINYASA MOVEMENT
VOICEOFTHETREESAFORESTTEMPLE,VOICE OF THE TREES: A FOREST TEMPLE,나무의 목소리: 숲의 사원,voice-of-the-trees-a-forest-temple,MAUM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,VOICE OF THE TREES: A FOREST TEMPLE
WELLNESSTAEKWONDO,WELLNESS TAEKWONDO,웰니스 태권도,wellness-taekwondo,MADANG,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,WELLNESS TAEKWONDO
XANEXX,XANEXX,자넥스,xanexx,SOOP,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,XANEXX
YOUNGSUN,YOUNG SUN,,young-sun,HANOK,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,YOUNG SUN
ZAHOWHERERHYTHMPAUSES,ZAHO: WHERE RHYTHM PAUSES,자호: 리듬이 머무는 순간,zaho-where-rhythm-pauses,MAUM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,ZAHO: WHERE RHYTHM PAUSES
ZORBA,ZORBA,조르바,zorba,SOOP,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,ZORBA
