day_label,stage_name,time_raw,start_time,end_time,artist_name_raw,artist_name_en,artist_name_ko,artist_key,artist_slug_candidate,row_number,source_file
토-일,마당,14:00~15:00,14:00,15:00,INDIGO DYEING EXPERIENCE 쪽염색 반다나 체험,INDIGO DYEING EXPERIENCE,쪽염색 반다나 체험,INDIGODYEINGEXPERIENCE,indigo-dyeing-experience,16,2026__sheet.csv
토-일,마당,17:00~18:00,17:00,18:00,WELLNESS TAEKWONDO 웰니스 태권도,WELLNESS TAEKWONDO,웰니스 태권도,WELLNESSTAEKWONDO,wellness-taekwondo,6,2026__sheet.csv
토-일,마당,19:00~20:00,19:00,20:00,MINDFUL AROMATHERAPY & ROLL-ON MAKING 마음챙김 아로마테라피&아로마롤온 만들기,MINDFUL AROMATHERAPY & ROLL-ON MAKING,마음챙김 아로마테라피&아로마롤온 만들기,MINDFULAROMATHERAPYROLLONMAKING,,7,2026__sheet.csv
토-일,마당,20:00~21:00,20:00,21:00,AIRHOUSE CEREMONY 에어하우스 세레모니,AIRHOUSE CEREMONY,에어하우스 세레모니,AIRHOUSECEREMONY,airhouse-ceremony,8,2026__sheet.csv
토-일,마당,21:00~22:00,21:00,22:00,SAMULNORI ON : PAN ON 사물놀이 온ON : 판 온,SAMULNORI ON : PAN ON :,사물놀이 온ON : 판 온,SAMULNORIONPANON,samulnori-on-pan-on,9,2026__sheet.csv
토-일,마당,23:00~24:00,23:00,24:00,CHAWOOL 차울,CHAWOOL,차울,CHAWOOL,chawool,10,2026__sheet.csv
토-일,마음,02:00~04:00,02:00,04:00,JONGHO (LIVE),JONGHO (LIVE),종호(라이브),JONGHOLIVE,jongho-live,10,2026__sheet.csv
토-일,마음,04:00~06:00,04:00,06:00,ROBERT ISTOC,ROBERT ISTOC,로베르투 이스톡,ROBERTISTOC,robert-istoc,11,2026__sheet.csv
토-일,마음,07:00~08:00,07:00,08:00,VINYASA MOVEMENT / 빈야사 무브먼트,VINYASA MOVEMENT,빈야사 무브먼트,VINYASAMOVEMENT,vinyasa-movement,12,2026__sheet.csv
토-일,마음,09:00~10:00,09:00,10:00,HANDPAN MORNING FLOW 핸드팬과 함께하는 아침의 흐름,HANDPAN MORNING FLOW,핸드팬 모닝 플로우,HANDPANMORNINGFLOW,handpan-morning-flow,13,2026__sheet.csv
